负向,中性,正向,情感强度_归一化
False,False,True,0.3333333333333333
False,True,False,0.06666666666666667
False,False,True,0.06666666666666667
True,False,False,0.0
True,False,False,0.3333333333333333
False,False,True,0.0
True,False,False,0.06666666666666667
True,False,False,0.0
True,False,False,0.06666666666666667
False,True,False,0.06666666666666667
False,False,True,0.0
True,False,False,0.06666666666666667
True,False,False,0.2
False,False,True,0.0
False,True,False,0.0
False,True,False,0.0
False,True,False,0.0
True,False,False,0.0
True,False,False,0.26666666666666666
False,True,False,0.2
True,False,False,0.06666666666666667
True,False,False,0.0
True,False,False,0.06666666666666667
False,True,False,0.13333333333333333
False,True,False,0.06666666666666667
False,False,True,0.13333333333333333
False,True,False,0.0
False,True,False,0.0
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.2
False,True,False,0.06666666666666667
False,True,False,0.0
False,True,False,0.0
False,False,True,0.13333333333333333
False,True,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
False,True,False,0.0
False,False,True,0.0
False,False,True,0.06666666666666667
False,False,True,0.06666666666666667
True,False,False,0.4666666666666667
False,False,True,0.06666666666666667
True,False,False,0.26666666666666666
True,False,False,0.06666666666666667
False,True,False,0.0
False,True,False,0.06666666666666667
False,False,True,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.2
False,True,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.0
True,False,False,0.5333333333333333
False,False,True,0.0
True,False,False,0.06666666666666667
False,True,False,0.06666666666666667
False,False,True,0.0
True,False,False,0.4666666666666667
False,False,True,0.13333333333333333
True,False,False,0.13333333333333333
False,False,True,0.26666666666666666
True,False,False,0.2
True,False,False,0.06666666666666667
False,True,False,0.06666666666666667
True,False,False,0.13333333333333333
False,False,True,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.26666666666666666
True,False,False,0.26666666666666666
False,True,False,0.06666666666666667
False,False,True,0.0
True,False,False,0.13333333333333333
False,False,True,0.2
True,False,False,0.06666666666666667
True,False,False,0.5333333333333333
False,True,False,0.0
False,True,False,0.0
False,True,False,0.0
True,False,False,0.2
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
False,False,True,0.0
False,False,True,0.4666666666666667
True,False,False,0.13333333333333333
True,False,False,0.0
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
False,False,True,0.0
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.4666666666666667
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
False,False,True,0.2
True,False,False,0.2
False,True,False,0.13333333333333333
False,False,True,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.0
False,True,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.06666666666666667
False,True,False,0.06666666666666667
True,False,False,0.0
True,False,False,0.0
False,False,True,0.2
True,False,False,0.3333333333333333
False,True,False,0.06666666666666667
False,True,False,0.06666666666666667
False,True,False,0.0
False,True,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.13333333333333333
True,False,False,0.13333333333333333
True,False,False,0.5333333333333333
False,False,True,0.13333333333333333
False,True,False,0.2
True,False,False,0.3333333333333333
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.0
True,False,False,0.2
True,False,False,0.0
False,False,True,0.2
True,False,False,0.13333333333333333
False,True,False,0.0
False,True,False,0.06666666666666667
True,False,False,0.26666666666666666
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
False,True,False,0.0
False,True,False,0.0
True,False,False,0.13333333333333333
False,False,True,0.0
True,False,False,0.2
True,False,False,0.3333333333333333
True,False,False,0.06666666666666667
False,False,True,0.0
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
False,True,False,0.0
False,True,False,0.0
True,False,False,0.06666666666666667
False,True,False,0.0
False,True,False,0.06666666666666667
True,False,False,0.13333333333333333
False,False,True,0.13333333333333333
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.2
False,True,False,0.0
True,False,False,0.0
False,False,True,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.26666666666666666
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
False,True,False,0.06666666666666667
True,False,False,0.26666666666666666
True,False,False,0.0
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
False,True,False,0.0
False,False,True,0.13333333333333333
False,False,True,0.13333333333333333
True,False,False,0.4
True,False,False,0.26666666666666666
False,True,False,0.06666666666666667
False,True,False,0.06666666666666667
False,True,False,0.06666666666666667
True,False,False,0.0
False,True,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.13333333333333333
True,False,False,0.2
True,False,False,0.26666666666666666
True,False,False,0.2
True,False,False,0.2
False,True,False,0.0
True,False,False,0.13333333333333333
False,True,False,0.13333333333333333
True,False,False,0.2
True,False,False,0.2
True,False,False,0.06666666666666667
True,False,False,0.26666666666666666
True,False,False,0.3333333333333333
True,False,False,0.0
True,False,False,0.13333333333333333
False,False,True,0.13333333333333333
True,False,False,0.13333333333333333
False,True,False,0.13333333333333333
True,False,False,0.13333333333333333
True,False,False,0.0
True,False,False,0.0
False,True,False,0.0
True,False,False,0.0
True,False,False,0.4666666666666667
True,False,False,0.13333333333333333
True,False,False,0.26666666666666666
False,False,True,0.0
False,True,False,0.06666666666666667
True,False,False,0.06666666666666667
False,False,True,0.13333333333333333
True,False,False,0.26666666666666666
False,False,True,0.2
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.0
True,False,False,0.13333333333333333
False,False,True,0.06666666666666667
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.13333333333333333
True,False,False,0.0
True,False,False,0.26666666666666666
False,False,True,0.0
False,False,True,0.13333333333333333
True,False,False,0.0
False,True,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.26666666666666666
False,True,False,0.2
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.3333333333333333
True,False,False,0.06666666666666667
False,False,True,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.3333333333333333
False,True,False,0.06666666666666667
False,True,False,0.13333333333333333
False,False,True,0.2
False,True,False,0.2
False,True,False,0.0
True,False,False,0.13333333333333333
False,False,True,0.06666666666666667
True,False,False,0.3333333333333333
True,False,False,0.06666666666666667
True,False,False,0.0
True,False,False,0.2
True,False,False,0.06666666666666667
False,True,False,0.0
False,False,True,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.13333333333333333
False,False,True,0.06666666666666667
False,False,True,0.0
True,False,False,0.2
False,False,True,0.06666666666666667
True,False,False,0.2
False,True,False,0.0
False,False,True,0.06666666666666667
True,False,False,0.3333333333333333
False,False,True,0.06666666666666667
True,False,False,0.3333333333333333
False,False,True,0.06666666666666667
True,False,False,0.06666666666666667
False,False,True,0.2
False,True,False,0.13333333333333333
True,False,False,0.06666666666666667
False,True,False,0.0
True,False,False,0.0
False,False,True,0.06666666666666667
True,False,False,0.06666666666666667
False,False,True,0.0
True,False,False,0.0
False,False,True,0.0
True,False,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.3333333333333333
True,False,False,0.06666666666666667
True,False,False,0.0
True,False,False,0.2
True,False,False,0.0
True,False,False,0.06666666666666667
False,False,True,0.06666666666666667
False,False,True,0.26666666666666666
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.0
False,False,True,0.26666666666666666
False,False,True,0.06666666666666667
True,False,False,0.0
True,False,False,0.0
False,True,False,0.0
False,True,False,0.13333333333333333
True,False,False,0.3333333333333333
False,False,True,0.13333333333333333
True,False,False,0.06666666666666667
False,True,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.13333333333333333
False,True,False,0.0
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.2
True,False,False,0.2
True,False,False,0.13333333333333333
True,False,False,0.0
False,False,True,0.13333333333333333
True,False,False,0.26666666666666666
False,True,False,0.0
True,False,False,0.26666666666666666
True,False,False,0.2
True,False,False,0.13333333333333333
True,False,False,0.2
True,False,False,0.26666666666666666
True,False,False,0.2
True,False,False,0.26666666666666666
False,True,False,0.0
True,False,False,0.13333333333333333
True,False,False,0.2
True,False,False,0.26666666666666666
True,False,False,0.3333333333333333
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
False,False,True,0.0
True,False,False,0.2
True,False,False,0.06666666666666667
False,False,True,0.2
False,False,True,0.0
True,False,False,0.13333333333333333
True,False,False,0.13333333333333333
True,False,False,0.13333333333333333
True,False,False,0.0
False,True,False,0.06666666666666667
True,False,False,0.13333333333333333
False,True,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
False,False,True,0.0
False,True,False,0.13333333333333333
True,False,False,0.0
False,False,True,0.2
True,False,False,0.13333333333333333
False,False,True,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.0
False,False,True,0.2
True,False,False,0.3333333333333333
False,True,False,0.0
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.26666666666666666
True,False,False,0.13333333333333333
False,False,True,0.06666666666666667
False,True,False,0.13333333333333333
True,False,False,0.2
True,False,False,0.13333333333333333
True,False,False,0.13333333333333333
False,True,False,0.0
True,False,False,0.13333333333333333
False,False,True,0.13333333333333333
True,False,False,0.06666666666666667
True,False,False,0.06666666666666667
True,False,False,0.13333333333333333
True,False,False,0.06666666666666667
False,True,False,0.0
True,False,False,0.13333333333333333
False,False,True,0.0
False,False,True,0.0
False,False,True,0.06666666666666667
True,False,False,0.13333333333333333
